Exchange,Token,Lotsize,Symbol,Tradingsymbol,Instrument,Expiry,Strike,Optiontype
BSE,511692,1,AJCON,AJCON,X,,0,
BSE,511688,1,MATHEWE,MATHEWE,X,,0,
BSE,511676,1,GICHSGFIN,GICHSGFIN,B,,0,
BSE,511672,1,SCANSTL,SCANSTL,XT,,0,
BSE,511664,1,BGIL,BGIL,XT,,0,
BSE,511658,1,NETTLINX,NETTLINX,X,,0,
BSE,511654,1,SUGALDAM,SUGALDAM,XT,,0,
BSE,511644,1,OMEGAIN,OMEGAIN,XT,,0,
BSE,511630,1,SAMBHAAV,SAMBHAAV,B,,0,
BSE,511628,1,IMCAP,IMCAP,X,,0,
BSE,511626,1,RRFIN,RRFIN,XT,,0,
BSE,511611,1,DCMFINSERV,DCMFINSERV,T,,0,
BSE,511609,1,ISLCONSUL,ISLCONSUL,X,,0,
BSE,511605,1,ARIHCAPM,ARIHCAPM,B,,0,
BSE,511601,1,YASHMGM,YASHMGM,X,,0,
BSE,511593,1,LIBORDFIN,LIBORDFIN,X,,0,
BSE,511589,1,AVONMORE,AVONMORE,B,,0,
BSE,511585,1,REGTRUS,REGTRUS,X,,0,
BSE,511571,1,SODFC,SODFC,XT,,0,
BSE,511563,1,SANCF,SANCF,XT,,0,
BSE,511559,1,TIMESGTY,TIMESGTY,B,,0,
BSE,511557,1,PROFINC,PROFINC,X,,0,
BSE,511551,1,MONARCH,MONARCH,B,,0,
BSE,511549,1,MORARKFI,MORARKFI,X,,0,
BSE,511543,1,GSBFIN,GSBFIN,X,,0,
BSE,511535,1,NDASEC,NDASEC,XT,,0,
BSE,511533,1,SAHARAHOUS,SAHARAHOUS,XT,,0,
BSE,511525,1,PANINDIAC,PANINDIAC,XT,,0,
BSE,511523,1,VEERHEALTH,VEERHEALTH,X,,0,
BSE,511509,1,VIVOBIOT,VIVOBIOT,X,,0,
BSE,511507,1,USHAKIRA,USHAKIRA,XT,,0,
BSE,511505,1,CAPITALT,CAPITALT,B,,0,
BSE,511501,1,BHARAT,BHARAT,X,,0,
BSE,511493,1,SHRYDUS,SHRYDUS,X,,0,
BSE,511473,1,INDBANK,INDBANK,T,,0,
BSE,511463,1,ALEXANDER,ALEXANDER,X,,0,
BSE,511451,1,DHARFIN,DHARFIN,X,,0,
BSE,511447,1,SYLPH,SYLPH,XT,,0,
