Exchange,Token,Lotsize,Symbol,Tradingsymbol,Instrument,Expiry,Strike,Optiontype
BFO,1124648,15,BANKEX,BANKEX24JUL59200CE,OPTIDX,29-JUL-2024,59200,CE
BFO,843079,15,BANKEX,BANKEX24JUL60500CE,OPTIDX,29-JUL-2024,60500,CE
BFO,842978,15,BANKEX,BANKEX24JUL60600CE,OPTIDX,29-JUL-2024,60600,CE
BFO,843108,15,BANKEX,BANKEX24JUL60700CE,OPTIDX,29-JUL-2024,60700,CE
BFO,843006,15,BANKEX,BANKEX24JUL60800CE,OPTIDX,29-JUL-2024,60800,CE
BFO,844174,15,BANKEX,BANKEX24JUL60900CE,OPTIDX,29-JUL-2024,60900,CE
BFO,1122923,15,BANKEX,BANKEX24JUL50700PE,OPTIDX,29-JUL-2024,50700,PE
BFO,1122776,15,BANKEX,BANKEX24JUL50800PE,OPTIDX,29-JUL-2024,50800,PE
BFO,1122559,15,BANKEX,BANKEX24JUL50900PE,OPTIDX,29-JUL-2024,50900,PE
BFO,1122973,15,BANKEX,BANKEX24JUL51000PE,OPTIDX,29-JUL-2024,51000,PE
BFO,1122439,15,BANKEX,BANKEX24JUL51100PE,OPTIDX,29-JUL-2024,51100,PE
BFO,843196,15,BANKEX,BANKEX24JUL60400CE,OPTIDX,29-JUL-2024,60400,CE
BFO,1126128,15,BANKEX,BANKEX24JUL60300CE,OPTIDX,29-JUL-2024,60300,CE
BFO,1124226,15,BANKEX,BANKEX24JUL59300CE,OPTIDX,29-JUL-2024,59300,CE
BFO,1124776,15,BANKEX,BANKEX24JUL59400CE,OPTIDX,29-JUL-2024,59400,CE
BFO,1124337,15,BANKEX,BANKEX24JUL59500CE,OPTIDX,29-JUL-2024,59500,CE
BFO,1123162,15,BANKEX,BANKEX24JUL59600CE,OPTIDX,29-JUL-2024,59600,CE
BFO,1124449,15,BANKEX,BANKEX24JUL59700CE,OPTIDX,29-JUL-2024,59700,CE
BFO,1125119,15,BANKEX,BANKEX24JUL59800CE,OPTIDX,29-JUL-2024,59800,CE
BFO,1125358,15,BANKEX,BANKEX24JUL59900CE,OPTIDX,29-JUL-2024,59900,CE
BFO,1126481,15,BANKEX,BANKEX24JUL60000CE,OPTIDX,29-JUL-2024,60000,CE
BFO,1126023,15,BANKEX,BANKEX24JUL60100CE,OPTIDX,29-JUL-2024,60100,CE
BFO,1126589,15,BANKEX,BANKEX24JUL60200CE,OPTIDX,29-JUL-2024,60200,CE
BFO,1116920,15,BANKEX,BANKEX24JUL51200PE,OPTIDX,29-JUL-2024,51200,PE
BFO,1116644,15,BANKEX,BANKEX24JUL51300PE,OPTIDX,29-JUL-2024,51300,PE
BFO,1113495,15,BANKEX,BANKEX24JUL52600PE,OPTIDX,29-JUL-2024,52600,PE
BFO,1113125,15,BANKEX,BANKEX24JUL52700PE,OPTIDX,29-JUL-2024,52700,PE
BFO,1113077,15,BANKEX,BANKEX24JUL52800PE,OPTIDX,29-JUL-2024,52800,PE
BFO,1113203,15,BANKEX,BANKEX24JUL52900PE,OPTIDX,29-JUL-2024,52900,PE
BFO,1112832,15,BANKEX,BANKEX24JUL53000PE,OPTIDX,29-JUL-2024,53000,PE
