Exchange,Token,Lotsize,Symbol,Tradingsymbol,Instrument,Expiry,Strike,Optiontype
NFO,35432,15,BANKNIFTY,BANKNIFTY31JUL24C41900,OPTIDX,31-JUL-2024,41900.00,CE
NFO,35355,15,BANKNIFTY,BANKNIFTY26JUN24C38500,OPTIDX,26-JUN-2024,38500.00,CE
NFO,35354,15,BANKNIFTY,BANKNIFTY26JUN24P38000,OPTIDX,26-JUN-2024,38000.00,PE
NFO,35351,15,BANKNIFTY,BANKNIFTY19JUN24P54700,OPTIDX,19-JUN-2024,54700.00,PE
NFO,35350,15,BANKNIFTY,BANKNIFTY19JUN24C54700,OPTIDX,19-JUN-2024,54700.00,CE
NFO,35345,15,BANKNIFTY,BANKNIFTY31JUL24P41800,OPTIDX,31-JUL-2024,41800.00,PE
NFO,35344,15,BANKNIFTY,BANKNIFTY31JUL24C41800,OPTIDX,31-JUL-2024,41800.00,CE
NFO,35340,15,BANKNIFTY,BANKNIFTY31JUL24P41700,OPTIDX,31-JUL-2024,41700.00,PE
NFO,35339,15,BANKNIFTY,BANKNIFTY31JUL24C41700,OPTIDX,31-JUL-2024,41700.00,CE
NFO,35337,15,BANKNIFTY,BANKNIFTY31JUL24P41600,OPTIDX,31-JUL-2024,41600.00,PE
NFO,35336,15,BANKNIFTY,BANKNIFTY31JUL24C41600,OPTIDX,31-JUL-2024,41600.00,CE
NFO,35333,15,BANKNIFTY,BANKNIFTY19JUN24P54600,OPTIDX,19-JUN-2024,54600.00,PE
NFO,35332,15,BANKNIFTY,BANKNIFTY19JUN24C54600,OPTIDX,19-JUN-2024,54600.00,CE
NFO,35327,15,BANKNIFTY,BANKNIFTY19JUN24P54400,OPTIDX,19-JUN-2024,54400.00,PE
NFO,35326,15,BANKNIFTY,BANKNIFTY19JUN24C54400,OPTIDX,19-JUN-2024,54400.00,CE
NFO,35360,15,BANKNIFTY,BANKNIFTY26JUN24P38500,OPTIDX,26-JUN-2024,38500.00,PE
NFO,35363,15,BANKNIFTY,BANKNIFTY26JUN24C39500,OPTIDX,26-JUN-2024,39500.00,CE
NFO,35364,15,BANKNIFTY,BANKNIFTY26JUN24P39500,OPTIDX,26-JUN-2024,39500.00,PE
NFO,35398,15,BANKNIFTY,BANKNIFTY26JUN24C41000,OPTIDX,26-JUN-2024,41000.00,CE
NFO,35394,15,BANKNIFTY,BANKNIFTY03JUL24P53900,OPTIDX,03-JUL-2024,53900.00,PE
NFO,35388,15,BANKNIFTY,BANKNIFTY26JUN24P40900,OPTIDX,26-JUN-2024,40900.00,PE
NFO,35386,15,BANKNIFTY,BANKNIFTY19JUN24P64000,OPTIDX,19-JUN-2024,64000.00,PE
NFO,35385,15,BANKNIFTY,BANKNIFTY26JUN24C40900,OPTIDX,26-JUN-2024,40900.00,CE
NFO,35384,15,BANKNIFTY,BANKNIFTY19JUN24C64000,OPTIDX,19-JUN-2024,64000.00,CE
NFO,35383,15,BANKNIFTY,BANKNIFTY19JUN24P63500,OPTIDX,19-JUN-2024,63500.00,PE
NFO,35382,15,BANKNIFTY,BANKNIFTY19JUN24C63500,OPTIDX,19-JUN-2024,63500.00,CE
NFO,35380,15,BANKNIFTY,BANKNIFTY19JUN24P54800,OPTIDX,19-JUN-2024,54800.00,PE
NFO,35379,15,BANKNIFTY,BANKNIFTY19JUN24C54800,OPTIDX,19-JUN-2024,54800.00,CE
