Exchange,Token,Lotsize,Symbol,Tradingsymbol,Instrument,Expiry,Strike,Optiontype
BFO,851517,30,BANKEX,BANKEX25MAR52500CE,OPTIDX,25-MAR-2025,52500,CE
BFO,853938,30,BANKEX,BANKEX25MAR51300CE,OPTIDX,25-MAR-2025,51300,CE
BFO,855874,30,BANKEX,BANKEX25MAR51200CE,OPTIDX,25-MAR-2025,51200,CE
BFO,855103,30,BANKEX,BANKEX25MAR51100CE,OPTIDX,25-MAR-2025,51100,CE
BFO,856710,30,BANKEX,BANKEX25MAR51000CE,OPTIDX,25-MAR-2025,51000,CE
BFO,857504,30,BANKEX,BANKEX25MAR50900CE,OPTIDX,25-MAR-2025,50900,CE
BFO,856698,30,BANKEX,BANKEX25MAR50800CE,OPTIDX,25-MAR-2025,50800,CE
BFO,855917,30,BANKEX,BANKEX25MAR50700CE,OPTIDX,25-MAR-2025,50700,CE
BFO,856217,30,BANKEX,BANKEX25MAR50600CE,OPTIDX,25-MAR-2025,50600,CE
BFO,861380,30,BANKEX,BANKEX25APRFUT,FUTIDX,29-APR-2025,0,XX
BFO,854399,30,BANKEX,BANKEX25MAR51400CE,OPTIDX,25-MAR-2025,51400,CE
BFO,854232,30,BANKEX,BANKEX25MAR51500CE,OPTIDX,25-MAR-2025,51500,CE
BFO,846322,30,BANKEX,BANKEX25MAR52400CE,OPTIDX,25-MAR-2025,52400,CE
BFO,848018,30,BANKEX,BANKEX25MAR52300CE,OPTIDX,25-MAR-2025,52300,CE
BFO,852763,30,BANKEX,BANKEX25MAR52200CE,OPTIDX,25-MAR-2025,52200,CE
BFO,854034,30,BANKEX,BANKEX25MAR52100CE,OPTIDX,25-MAR-2025,52100,CE
BFO,854203,30,BANKEX,BANKEX25MAR52000CE,OPTIDX,25-MAR-2025,52000,CE
BFO,854020,30,BANKEX,BANKEX25MAR51900CE,OPTIDX,25-MAR-2025,51900,CE
BFO,854965,30,BANKEX,BANKEX25MAR51800CE,OPTIDX,25-MAR-2025,51800,CE
BFO,853728,30,BANKEX,BANKEX25MAR51700CE,OPTIDX,25-MAR-2025,51700,CE
BFO,854701,30,BANKEX,BANKEX25MAR51600CE,OPTIDX,25-MAR-2025,51600,CE
BFO,842502,30,BANKEX,BANKEX25MARFUT,FUTIDX,25-MAR-2025,0,XX
BFO,822941,30,BANKEX,BANKEX25FEBFUT,FUTIDX,25-FEB-2025,0,XX
BFO,824742,30,BANKEX,BANKEX25FEB63900PE,OPTIDX,25-FEB-2025,63900,PE
BFO,824783,30,BANKEX,BANKEX25FEB63800PE,OPTIDX,25-FEB-2025,63800,PE
BFO,824689,30,BANKEX,BANKEX25FEB63700PE,OPTIDX,25-FEB-2025,63700,PE
BFO,823751,30,BANKEX,BANKEX25FEB63600PE,OPTIDX,25-FEB-2025,63600,PE
BFO,822691,30,BANKEX,BANKEX25FEB63500PE,OPTIDX,25-FEB-2025,63500,PE
BFO,823197,30,BANKEX,BANKEX25FEB63400PE,OPTIDX,25-FEB-2025,63400,PE
