Exchange,Token,Lotsize,Symbol,Tradingsymbol,Instrument,Expiry,Strike,Optiontype
NFO,42407,30,BANKNIFTY,BANKNIFTY27FEB25C61400,OPTIDX,27-FEB-2025,61400.00,CE
NFO,74808,30,BANKNIFTY,BANKNIFTY24APR25C50000,OPTIDX,24-APR-2025,50000.00,CE
NFO,74807,30,BANKNIFTY,BANKNIFTY24APR25P49900,OPTIDX,24-APR-2025,49900.00,PE
NFO,74806,30,BANKNIFTY,BANKNIFTY24APR25C49900,OPTIDX,24-APR-2025,49900.00,CE
NFO,74805,30,BANKNIFTY,BANKNIFTY24APR25P49800,OPTIDX,24-APR-2025,49800.00,PE
NFO,74802,30,BANKNIFTY,BANKNIFTY24APR25C49800,OPTIDX,24-APR-2025,49800.00,CE
NFO,74801,30,BANKNIFTY,BANKNIFTY24APR25P49700,OPTIDX,24-APR-2025,49700.00,PE
NFO,74800,30,BANKNIFTY,BANKNIFTY24APR25C49700,OPTIDX,24-APR-2025,49700.00,CE
NFO,74799,30,BANKNIFTY,BANKNIFTY24APR25P49600,OPTIDX,24-APR-2025,49600.00,PE
NFO,74779,30,BANKNIFTY,BANKNIFTY24APR25C49600,OPTIDX,24-APR-2025,49600.00,CE
NFO,74769,30,BANKNIFTY,BANKNIFTY24APR25P49500,OPTIDX,24-APR-2025,49500.00,PE
NFO,74768,30,BANKNIFTY,BANKNIFTY24APR25C49500,OPTIDX,24-APR-2025,49500.00,CE
NFO,74758,30,BANKNIFTY,BANKNIFTY24APR25P49400,OPTIDX,24-APR-2025,49400.00,PE
NFO,74757,30,BANKNIFTY,BANKNIFTY24APR25C49400,OPTIDX,24-APR-2025,49400.00,CE
NFO,74756,30,BANKNIFTY,BANKNIFTY24APR25P49300,OPTIDX,24-APR-2025,49300.00,PE
NFO,74739,30,BANKNIFTY,BANKNIFTY24APR25C49300,OPTIDX,24-APR-2025,49300.00,CE
NFO,74738,30,BANKNIFTY,BANKNIFTY24APR25P49200,OPTIDX,24-APR-2025,49200.00,PE
